symbol,type,direction,strategy,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars_held,size,exit_reason,daily_z,h1_z,h1_atr,vol_percentile,session,hour_utc
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-06-02 14:45:00+00:00,2025-06-02 18:00:00+00:00,2.085895,2.0855550000000003,-0.00016299957572148306,13,0.6,timeout,0.9554275246356102,-2.7883051107341488,0.0013238748050336403,75.0,NY,14
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-06-03 11:30:00+00:00,2025-06-03 13:45:00+00:00,2.090195,2.09369,0.001672092795169841,9,0.6,target,0.589923284652395,-2.0959741596849835,0.0013519703179028044,10.0,LONDON,11
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-06-05 10:00:00+00:00,2025-06-09 12:00:00+00:00,2.084845,2.078935,-0.0028347431103991337,12,0.6,stop,0.5562335774552238,-2.2645129934591455,0.0026100084038068352,100.0,LONDON,10
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-06-17 08:00:00+00:00,2025-06-18 14:00:00+00:00,2.07396,2.066435,-0.0036283245578507908,8,0.6,stop,-0.29183021688900906,-2.8819962017342986,0.003566471755174831,25.0,LONDON,8
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-06-20 15:00:00+00:00,2025-06-20 15:45:00+00:00,2.0839350000000003,2.08633,-0.0011492680913749616,3,0.6,stop,-0.643698628006151,2.046095327841251,0.001432013621985678,10.0,NY,15
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-07-01 13:00:00+00:00,2025-07-02 07:15:00+00:00,2.089015,2.0889,-5.504986799981962e-05,13,0.6,timeout,0.31247464885198656,-3.1275131860223433,0.002298777515590408,100.0,NY,13
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-07-11 07:00:00+00:00,2025-07-16 01:00:00+00:00,2.05739,2.0516500000000004,-0.002789942597173804,8,0.6,stop,-2.0637370099486305,-3.612029818964888,0.003660663857696183,100.0,LONDON,7
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-07-22 07:45:00+00:00,2025-07-22 13:00:00+00:00,2.070045,2.06385,0.0029926885647413226,5,0.6,target,-0.6004039564228738,2.79983245373683,0.0006463565695851998,45.0,LONDON,7
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-07-22 13:15:00+00:00,2025-07-23 05:00:00+00:00,2.0627700000000004,2.0605,-0.0011004620001261486,11,0.6,stop,-0.6004039564228738,-2.5330060717603815,0.0010203718474240558,95.0,NY,13
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-07-23 11:00:00+00:00,2025-07-23 11:30:00+00:00,2.053995,2.0516,-0.0011660203651907258,2,0.6,stop,-0.7087050900357591,-2.41924933603528,0.0014830345807113454,90.0,LONDON,11
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-07-28 11:00:00+00:00,2025-07-28 18:30:00+00:00,2.055045,2.049105,0.0028904476544308446,6,0.6,target,-1.4898391585006459,3.3207376269802555,0.0021131422918271104,100.0,LONDON,11
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-08-07 15:00:00+00:00,2025-08-08 06:45:00+00:00,2.0635950000000003,2.058325,0.0025537956818078786,7,0.6,target,-0.0599721088182576,3.4100596303826114,0.002069076942106344,100.0,NY,15
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-08-12 08:15:00+00:00,2025-08-14 19:00:00+00:00,2.072785,2.08338,-0.005111480447803274,11,0.6,stop,0.9752061491799501,2.0719626146711816,0.0037338253466163494,100.0,LONDON,8
GBPAUD,M15_SCALP_SHORT,SHORT,M15_SCALP,2025-08-19 16:00:00+00:00,2025-08-20 04:00:00+00:00,2.08814,2.09342,-0.002528566092311795,8,0.6,stop,1.7077354485593417,3.0176195666937766,0.0013043068097438968,70.0,NY,16
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-08-28 17:00:00+00:00,2025-08-29 20:00:00+00:00,2.06961,2.064735,-0.002355516256685917,4,0.6,stop,0.20457118353376114,-2.488662144809174,0.0015703339269583952,100.0,NY,17
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-09-02 07:00:00+00:00,2025-09-03 01:00:00+00:00,2.06126,2.05283,-0.004089731523436983,4,0.6,stop,-0.599401997477286,-2.803435318203361,0.0014363921113600827,85.0,LONDON,7
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-09-05 07:00:00+00:00,2025-09-05 08:00:00+00:00,2.058545,2.05757,-0.00047363550468896627,4,0.6,stop,-0.9948485335723021,-2.808290338750918,0.000615342890266859,100.0,LONDON,7
GBPAUD,M15_SCALP_LONG,LONG,M15_SCALP,2025-09-05 13:15:00+00:00,2025-09-05 14:45:00+00:00,2.056265,2.061925,0.0027525635071356178,6,0.6,target,-0.9948485335723021,-2.5374121846873026,0.002075308083386667,100.0,NY,13
